,VE,LB,UB
aa_7to14Weeks,74.45,65.88,80.87
aa_0to7Weeks,79.99,71.06,86.16
pp_7to14Weeks,78.31,74.5,81.56
pp_0to7Weeks,73.71,66.11,79.61
ss_7to14Weeks,34.99,26.84,42.23
ss_0to7Weeks,41.08,28.37,51.54
